category,subcategory,supplier,name, 75cl ,"5% DISCOUNT = 
Buying Price", size ,style,price, %profit ,perc_alcholas,fermentation,color,aromas,taste,flavors,recommended,features
Biéres Artisanales,Bouteilles,Chez Alan,Agent provocateur, € 6.50 , € 6.18 , 75cl ,pale ale,7.15,15.7894736842,0.065,Fermentation Haute,blond,floral and citrus aromatic American hops,n.a,n.a,n.a,Amarillo and Cascade hops combined with a small amount of light crystal malt give an orange marmalade character that melds with the Belgian yeast spiciness
Biéres Artisanales,Bouteilles,Chez Alan,Psychadelia, € 6.50 , € 6.18 , 75cl ,Pale ale,7.15,15.7894736842,0.050,Fermentation Haute,blond,"brewed with light pale malt and a subliminal touch of biscuit malt allowing the distinctive passion fruit flavour and aroma of the aromatic hops to shine through and leaving a dry, bitter finish.",,,,
Biéres Artisanales,Bouteilles,Chez Alan,Cuvée des jonquilles, € 6.50 , € 6.18 , 75cl ,Bière de Garde,7.15,15.7894736842,0.070,Fermentation Haute,Blonde,"Levure, céréales, fleurs, fruits","Céréales, herbes, fleurs","Douce, équilibrée, avec sa belle amertume finale","Anguilles, maroilles, pain cramique",
Biéres Artisanales,Bouteilles,Chez Alan,Stout, € 8.00 , € 7.60 , 75cl ,Stout,8.8,15.7894736842,0.050,Fermentation Haute,Noire,"Malt rôti, café, cendres","Café (fort), malt rôti, pain grillé, cendres légères",n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Mademoiselle barbe rouge, € 8.00 , € 7.60 , 75cl ,Indian Pale ale,8.8,15.7894736842,0.060,Fermentation Haute,Ambrée,"en fruit, mangue, maracuja, houblon,céréales","à l’attaque fruitée, une bulle crémeuse, de la tension et une longue finale fruitée et amère",n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Equinox8, € 9.00 , € 8.55 , 75cl ,Double IPA,9.9,15.7894736842,0.080,Fermentation Haute,Ambrée,"mangue, fruits exotiques","persistante, amertume marquée",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Rye india, € 6.00 , € 5.70 , 75cl ,pale ale,6.6,15.7894736842,0.070,Fermentation Haute,Blonde,"Frais, qui s’ouvre immédiatement sur des flaveurs d’agrumes (pamplemousse) et les fruits tropicaux (chair de mangue).   ","Vive, fraîche et fruitée, légèrement ronde et maltée de part l’avoine, amertume douce et longue. Attaque houblonnée, fidèle au nez. Une véritable salade de fruits rafraichissante sur le pamplemousse, la mangue et le zeste de citron. Légère et désaltérante.",D’abord soutenue grâce au travail des houblons et se dissipe ensuite comme la brume.,N.a,
Biéres Artisanales,Bouteilles,Chez Alan,Wheat India, € 6.00 , € 5.70 , 75cl ,pale ale,6.6,15.7894736842,0.055,Fermentation Haute,Blonde,"Vif, expressif, floral et fruité sur le pépin de pamplemousse et le zeste de mandarine","Rafraichissante grâce à sa texture tout en légèreté ! Belle amertume sur les agrumes (pamplemousse, kumquat), et des notes résineuses de sève",Longue et soutenue sur des notes végétales (persil) et de résineux (sève de pin).,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,La fougue, € 7.00 , € 6.65 , 75cl ,Indian Pale ale,7.7,15.7894736842,0.065,Fermentation Haute,Blonde,"citrus, tropical fruits, caramel and herbal hops.",Medium sweet and bitter finish,n.a,Marche très bien aussi à table avec des fromages ou des plats épicés !,
Biéres Artisanales,Bouteilles,Chez Alan,La fièvre, € 7.00 , € 6.65 , 75cl ,Ale,7.7,15.7894736842,0.060,Fermentation Haute,Ambrée,"Caramel, agrumes, floral","Caramel, citron, florale, épicée Bière équilibrée et agréable à boire",n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Oude gueuze - Cuvée Armand et Gaston, € 22.00 , € 20.90 , 75cl ,Lambic Style - Gueuze,24.2,15.7894736842,0.060," n,a ",Blonde,"Acidité poivrée, citron, bois, beaucoup de funk, acide de la batterie","Acide acide, acidulé, funk, bois, finition sèche et tarte",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Oude gueuze, € 17.50 , € 16.63 , 75cl ,Lambic Style - Gueuze,19.25,,0.060, n.a ,Blonde,"Levure, épices, chêne, acidité, vine","Acidité, chêne, levure, raisin",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Saint bon chien 2014 & 2015, € 18.00 , € 17.10 , 75cl ,Strong Sour Ale,19.8,15.7894736842,0.110, Fermentation haut ,Brune,"Cidre, griottes, bois, poire, canelle","Vieux bois, baies rouges, griottes, vinaigre de Xeres",Acide,"Gigot d'agneau, époisses",Assemblage de bières vieillies plusieurs mois dans des différents fûts de chêne ayant contenu des vins suisses et alcools
Biéres Artisanales,Bouteilles,Chez Alan,Cuvée Alex le rouge,,, 75cl ,Imperial Stout,,,, Fermentation haut ,Noire,"Caramel, raisins secs, canneberges macérées dans l'alcool","Raisins secs, canneberges, chocolat noir, thé noir, vanille, caramel,réglisse","Puissante et crémeuse, légèrement acidulée, amertume démesurée en final","Foie gras épicé, civet de chevreuil sauce au vin, moelleux au chocolat, cigarre","Brassée avec du poivre de Sarawak, de la vanille Bourbon et du thé russe"
Biéres Artisanales,Bouteilles,Chez Alan,Léon, € 8.00 , € 7.60 , 75cl ,Belgian Pale Ale,8.8,15.7894736842,0.065, Fermentation haut ,Blonde,Arômes de levures et d'agrumes,"Saveurs de levures, notes fruitées acides, final sec",n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,ardberg    BA, € 15.00 , € 14.25 , 75cl ,Imperial Stout,16.5,15.7894736842,0.115, Fermentation haut , Noire ," Les malts rôtis sombres, les malts au chocolat, une sorte de note de tonneau terreux doux et ensuite un peu plus de chocolat à la fin du tirage "," Offre un mélange agréable de malts au chocolat, de malts rôtis sombres et de sacs terreux de citron doux ", n.a , n.a , n.a 
Biéres Artisanales,Bouteilles,Chez Alan,Kriek, € 14.00 , € 13.30 , 75cl ,Lambic - Fruit,15.4,15.7894736842,0.060,n.a,Rubis,Notes de baies rouges,Saveurs des fruits rouges et des agrumes,n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Rosé de gambrinus,,, 75cl ,Lambic - Fruit,,,0.050,n.a,Rubis,Arômes de lambic et de framboises,Légères saveurs de framboises équilibrées par l'acidité du Lambic,n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Iris, € 15.00 , € 14.25 , 75cl ,Lambic - Fruit,16.5,15.7894736842,0.065,n.a,Blonde,Arômes de houblon et d'agrumes,Rond et vinaux à la bouche,n..a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Cuvée st gilloise, € 14.00 , € 13.30 , 75cl ,Gueuze,15.4,15.7894736842,0.050,n.a,Ambrée,Notes de brett et d'agrumes,"Légère acidité, équilibre entre les saveurs ligneuses et houppes",n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Gueuze classique bio, € 13.00 , € 12.35 , 75cl ,Gueuze,14.3,15.7894736842,0.055,n.a,Blonde,Fruits et agrumes à chair légère,Fruité et aigre,n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Quetche, € 17.00 , € 16.15 , 75cl ,Gueuze aux fruits,18.7,15.7894736842,0.064, n.a ,n.a,"Au nez, on perçoit un parfum d’alcool de prunes.","Son goût est suret et acidulé mais présente un côté fruité et rond, mais également un légère sècheresse provenant de la peau des prunes","Des saveurs de fruits tropicaux, de houblons résineux en compétition avec une structure de malt doux, se terminant sur une amertume rauque et progressive.",n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Mure, € 17.00 , € 16.15 , 75cl ,Gueuze aux fruits,18.7,15.7894736842,0.040, n.a ,n.a,"Au nez et en bouche, on perçoit de douces notes de mûres.","Son goût est suret et présente un côté fruité et rond, mais également un légère sècheresse provenant de la peau des mûres et de la jeunesse des fûts de chêne employés",,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Gueuze tilquin, € 15.00 , € 14.25 , 75cl ,Gueuze,16.5,15.7894736842,0.064, n.a ,n.a,Elle a un nez citronné et frais.,"Son goût est suret et sec mais présente une certaine rondeur, ainsi qu’une légère amertume sèche en raison de la jeunesse des fûts de chêne employés, ceux-ci libérant encore quelques tanins.",,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Oude Kriek, € 17.00 , € 16.15 , 75cl ,Lambic - Fruit,18.7,15.7894736842,0.060, n.a ,Rubis,Parfums de cerises et acidité.,Cerises aigres et bois.,n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Intense red, € 20.00 , € 19.00 , 75cl ,Lambic - Fruit,22,15.7894736842,0.060, n.a ,Rubis,"Arômes de fruits, de cerise et d'amande","Saveurs de cerise, d'amande et de malt.",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Oude geuze, € 15.00 , € 14.25 , 75cl ,Gueuze,16.5,15.7894736842,0.060, n.a ,Blonde,Nez fruité sur la pomme et la vanille,Acidité franche et belles saveurs boisées,n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Bon vœux,6.5,6.175, 75cl ,n.a,7.15,15.7894736842,0.095,Fermentation Haute,blonde,Base de sauvetage sec,"Blonde coiffée, a de très bons souvenirs et des goûts amers, fruités et doux.",,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Bière de miel, € 6.50 , € 6.18 , 75cl ,Saison,7.15,15.7894736842,0.080,Fermentation Haute,Bio Ambrée,"Miel, Epices, levure","Miel, épices",Très peu sucrée et très légèrement acide,"Apéritif, désserts",
Biéres Artisanales,Bouteilles,Chez Alan,Saison dupont, € 4.70 , € 4.47 , 75cl ,Saison,5.17,15.7894736842,0.065,Fermentation Haute,Blonde,"Levure, agrumes, poivre, touche de foin","Céréales, levure, épices","Sucrée, amertume prononcée","Moules marinières, anguilles, cantal",
Biéres Artisanales,Bouteilles,Chez Alan,Moinette ambrée, € 6.00 , € 5.70 , 75cl ,Belgian Strong Ale,6.6,15.7894736842,0.085,Fermentation Haute,Ambrée,"élégant où l’on retrouve des notes de caramel, de malt légèrement torréfié, de noisettes, de fruits mûrs, pointe de levure et de fruits confits","à l’attaque épicée, une belle ampleur, des notes épicées, une bulle fine et élégante, de la tension et une finale large et épicée.",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Rulles estivale, € 7.00 , € 6.65 , 75cl ,Pale ale,7.7,15.7894736842,0.052,Fermentation Haute,Blonde,"Levure, agrumes, brioche","Citron, orange amère, épices",Amertume prononcée,"Salade, tempura de crevettes, galettes frangipane",
Biéres Artisanales,Bouteilles,Chez Alan,Rulles triple, € 7.00 , € 6.65 , 75cl ,triple,7.7,15.7894736842,0.084,Fermentation Haute,Blonde,"Miel, fleurs, poire, banane","Epices, poivre blanc, coriandre, fruits confits, zestes de citron","Chaleureuse et ronde en milieu de bouche, finale légèrement astringente","Gibier, pâtés",
Biéres Artisanales,Bouteilles,Chez Alan,Xx bitter, € 6.00 , € 5.70 , 75cl ,Belgian pale ale,6.6,15.7894736842,0.060,n.a,Blonde,"Arômes de malt, de levure, de poivre, d'herbes et de houblon","Saveurs d'agrumes, de houblon, de malt, d'épices, d'herbes et de levure.",n.a,n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Kriek de ranke, € 9.00 , € 8.55 , 75cl ,Lambic,9.9,15.7894736842,0.070,n.a,n.a,"Fruits rouges, fût, vin rouge","Fruits rouges, bois, madère",Acide et non sucrée,"Gibier au vin rouge, tarte frangipane, tarte au sucre",
Biéres Artisanales,Bouteilles,Chez Alan,Organicusl, € 7.00 , € 6.65 , 75cl ,Triple,7.7,15.7894736842,0.085,Fermentation Haute,Bio Blonde,"Notes lactiques, fruits, levure","Agrumes, céréales, épices",Douce amertume houblonée,"Roulade de saumon fumé, crème, ciboulette, cabillaud en sauce safrané, tempura de pommes",
Biéres Artisanales,Bouteilles,Chez Alan,Lupulus, € 7.00 , € 6.65 , 75cl ,Belgian Pale Ale,7.7,15.7894736842,0.085,Fermentation Haute,Ambrée,"Marmelade d'abricots, pamplemousse rose",Pamplemousse rose,Douce amertume,"Houmous, salade aux agrumes, cake à l'orange, mousse au chocolat",
Biéres Artisanales,Bouteilles,Chez Alan,Gouden Carolus Cuvée van de kaiser blue, € 8.00 , € 7.60 , 75cl ,Belgian Dark Ale,8.8,15.7894736842,0.110,Fermentation Haute,Brune,"Bonbon, prunes cuites, caramel, alcool","Réglisse, épices, caramel, fruits secs, raisin","Liquoreuse, douce avec une amertume modérée",n.a,
Biéres Artisanales,Bouteilles,Chez Alan,Abt 12, € 8.00 , € 7.60 , 75cl ,Ale,8.8,15.7894736842,0.100,Fermentation Haute,Brune,"Fruits, caramel","Réglisse, chocolat, pruneau","Sucrée, sensation de fruits noirs à l'eau de vie",,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Uncle Ipa, € 6.00 , € 5.70 , 75cl ,IPA,6.6,,0.055,Fermentation Haute,Blonde Ambrée,Houblonné / Herbacées,Très houblonnée / Amertume assez prononcée,n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Pasaïko Déclik, € 7.00 , € 6.65 , 75cl ,American Pale Ale,7.7,,0.052,Fermentation Haute,Blonde,"Houblou, fruité et frais. Aroma hops, malts, citrus et plus de houblon","Belle amertume, hoppy et finition légère et sèche",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,White Fox, € 7.00 , € 6.65 , 75cl ,Witbier,7.7,,0.048, n.a ,Blanche,"puissant et complexe sur des notes citronnées, de coriandre, sur un fond de levures","à l’attaque ample, puissante, belle amertume, beau fruit et finale épicée",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Red Fox Ipa, € 7.00 , € 6.65 , 75cl ,Indian Pale Ale,7.7,,0.077,Fermentation Haute,Blanche,"Pain d'épices, herbal. Apparence: cuivre foncé, mousse blanche","Grande amertume, douceur moyenne. Bouche: carbonatation moyenne, corps moyen, amertume durable",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,La Schwortz, € 7.00 , € 6.65 , 75cl ,Stout,7.7,,0.058,Fermentation Haute,Noire,"Rôtie, arôme malsain, mûr foncé, notes de mélasse, café, chocolat noir","La mûre noire rôtie, les notes de café, le chocolat noir, la rôtie et l'amertume du houblon",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Pale Wheat Ale- A l'Ouest, € 7.00 , € 6.65 , 75cl ,Wheat ale,7.7,,0.047,Fermentation Haute,Blonde,"Floral, pamplemousse, blé","Amertume moyenne, douceur moyenne; Bouche: moyenne à pleine corps, moyenne + carbonatation, finition courte",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Datmeal Pale Ale-Waimea Bay, € 7.00 , € 6.65 , 75cl ,American Pale Ale,7.7,,0.047,Fermentation Haute,Blonde,très porté sur la pêche/abricot et orange avec un fond malté,"assez riche, l’avoine ne passe pas inaperçu. Cela donne une attaque très ronde. On passe ensuite sur l’amertume assez verte et pleine d’agrumes (dominante orange",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,India Pale Ale- Ipa Citra Galactica, € 7.00 , € 6.65 , 75cl ,Ipa,7.7,,0.065,Fermentation Haute,Blonde,"fruité confit (raisin, coing).","bien houblonné avec fruité raisin, litchi, notes agrumes citron",n.a,n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,Pale Ale-Denise, € 7.00 , € 6.65 , 75cl ,American Pale ale,7.7,,0.055,Fermentation Haute,Blonde,n.a,Modéré doux et amer,"Malts sucrés, fruits exotiques, ananas.",n.a,n.a
Biéres Artisanales,Bouteilles,Chez Alan,B. Cassis, € 17.00 , € 16.15 ,,Sour/Wild Ale,18.7,,0.054,n.a,Rubis,"Resh sour-ish fruité, chargé de cassis noir cassé, groseilles rouges, peau de baies, herbe","slightly dry fruity, berry skin, hay, grass, sour slightly unripe black currants, unripe red currants, oak. Medium bitterness, very dry slightly acidic mouthfeel.",n.a,n.a,n.a
