 name ,category,description,price,expiryDate,quantity,supplier,color,size,country,type,sold,style,perc_alcholas,fermentation,aromas,taste,flavors,recommended,features,subcategory
Pleine lune tripple,Biéres Artisanales,Millésimes  2013 ,4.4,24-10-2018,12,Chez Alan ,Blonde,33cl,Francaise,Brasserie de la pleine lune ,0,Abbey Tripple,0.09,n.a,"puissant, sucré : de la levure, de fortes notes de banane, pêche, un fond fruits rouges","jolie texture, moins de tranchant aromatique qu’au nez, un côté plus houblonné, les levures sont plus présentes",n.a,n.a,Forte ,Bouteilles
Bigorre ,Biéres Artisanales,n.a,4.4,25-10-2018,12,Chez Alan ,Noire,33cl,Francaise,The Piggy brewing Company,0,IPA ,0.073,Fermentation Haute,"cacao, bitter coffee & leaves","cacao, bitter leaves, herbal bitterness, basic coffee bitter",n.a,n.a,Moyenne ,Bouteilles
Pig ,Biéres Artisanales,n.a,4.4,26-10-2018,12,Chez Alan ,Ambrée,33cl,Francaise,The Piggy brewing Company,0,IPA,0.063,Fermentation Haute,"hops, stale, citrus","old hop, oily, zest, stale, grain, bit empty, low iron","stale hop, old yeast",n.a,Moyenne ,Bouteilles
The chouchou brew,Biéres Artisanales,Pale Ale sans gluten. Houblons Citra et Sorachi Ace.,4.4,27-10-2018,12,Chez Alan ,Blonde,33cl,Francaise,The Piggy brewing Company,0,American Pale Ale ,0.053,Fermentation Haute,super agréable qui tabasse sur la mangue,"on note l’astringence du Sorachi en entrée de bouche, ça paraît sec",les fruits tropicaux,n.a,Moyenne ,Bouteilles
Boris goudenov Bourbon barrel,Biéres Artisanales,n.a,6.6,28-10-2018,12,Chez Alan ,Noire ,33cl,Francaise,Brasserie corrézienne,0,Imperial Stout,0.105,Fermentation Haute,"Chocolate, raisin, vieil alcool",l'expresso ,Avec un desert chocolate,n.a,Forte ,Bouteilles
White rabbit  ,Biéres Artisanales,Bière blanche nihiliste ,4,29-10-2018,12,Chez Alan ,Blanche,33cl,Francaise,Brasserie Sainte Crucienne,0,Witbier,0.05,Fermentation Haute,"Mangue, citron vert, ananas, physalis, résine, malts","Mangue, fruits de la passion, orange amère, citron",Légèreté et acidité qui équilibrent l'ensemble,"Tapas, poivrons grillés, chèvre frais, panna cottaà la mangue",Moyenne ,Bouteilles
Tempete du desert,Biéres Artisanales,n.a,4,30-10-2018,12,Chez Alan ,Blonde,33cl,Francaise,Brasserie Sainte Crucienne,0,Pale Ale,0.055,Fermentation Haute,"Zestes d'orange, pamplemousse, aiguilles de pin, malts, levure","Zestes d'orange, pamplemousse, malts, amande",Amertume résineuse et sèche,N.A ,Moyenne ,Bouteilles
Sex ale and rock n' roll,Biéres Artisanales,Cuvée spéciale hédoniste.,5,31-10-2018,12,Chez Alan ,Ambrée,33cl,Francaise,Brasserie Sainte Crucienne,0,Double IPA,0.05,Fermentation Haute,"Mûre, framboise, airelle, orange confite, pamplemousse, sucre roux, caramel bien cuit","Mûre, framboise, mangue, orange, pamplemousse, grenade, caramel roux","Légèrement sucrée, amertume puissante",N.a ,Moyenne ,Bouteilles
Antisociale,Biéres Artisanales,n.a,5,01-11-2018,12,Chez Alan ,Noire,33cl,Francaise,Brasserie Sainte Crucienne,0,Black IPA,0.072,Fermentation Haute,"Orange, mandarine, pamplemousse, cassis, mûre, fraise","Citron, citron vert, orange, pain grillé, grains grillés",Amertume sèche,N.A ,Forte ,Bouteilles
Nice to meet you,Biéres Artisanales,"Nice to Meet You est une bière créée pour ceux qui estiment qu’assez de houblon... c’est encore trop peu ! Du premier arôme à la dernière goutte, rien ne viendra atténuer la puissance des cinq variétés de houblons qui composent cette Double IPA. ",4.4,02-11-2018,12,Chez Alan ,Blonde,33cl,Francaise,Les brasseurs du grand paris,0,Imperial IPA,0.085,Fermentation Haute,"tropical fruits,  citrus and pine with a spicy note and alcohol warmth",n.a,n.a,n.a,Forte,Bouteilles
Porte Dorée,Biéres Artisanales,"La Porte Dorée doit sa robe rouge ambrée à un mélange de 5 malts. Des saveurs de pain et de caramel se marient à un mélange de houblons aux note épicées et citronnées pour composer cette bière complexe et équilibrée. Son nom est un hommage à San Francisco, et à ce pont que nous avons souvent emprunté. ",4,03-11-2018,12,Chez Alan ,robe rouge Ambrée,33cl,Francaise,Les brasseurs du grand paris,0,Ambrée,0.052,Fermentation Haute,n.a,de pain et de caramel se marient à un mélange de houblons aux notes épicées et citronnées pour composer cette bière complexe et équilibrée,n.a,n.a,Moyenne ,Bouteilles
Denise,Biéres Artisanales,n.a,4,04-11-2018,12,Chez Alan ,n.a,33cl,Francaise,Les brasseurs du grand paris,0,IPA,0.055,Fermentation Haute,,,,,Moyenne ,Bouteilles
Ipa Citra Galactica,Biéres Artisanales,"Nous avons conçu l’IPA Citra Galactique à partir d’une sélection de nos houblons favoris. Ils donnent à cette bière des notes explosives de citron et de fruits tropicaux dont l’amertume s’éteint sur une touche finale sèche. Les encouragements des amateurs et ceux des professionnels nous ont incités à sortir à nouveau de notre petit atelier de Levallois. Accueillis par l’équipe de la Brasserie Parisis, nous avons pu préparer cette recette pour la partager avec le plus grand nombre. ",4,05-11-2018,12,Chez Alan ,Ambrée,33cl,Francaise,Les brasseurs du grand paris,0,IPA,0.065,Fermentation Haute,n.a," Ils donnent à cette bière des notes explosives de citron et de fruits tropicaux, dont l'amertume s'éteint sur une touche finale sèche",n.a,n.a,Moyenne ,Bouteilles
Aux antipodes,Biéres Artisanales,n.a,4,06-11-2018,12,Chez Alan ,Golden light Ambrée,33cl,Francaise,Les brasseurs du grand paris,0,Session IPA,0.048,Fermentation Haute,"très puissant, très fruité avec le raisin en dominant",En bouche c’est étonnamment concentré pour une Session puisque l’on trouve une bonne ron
